food,hint
manzana,dorada
frijol,negro
carne de res,choque
galleta,restaurante
hamburguesa,esponja
burrito,monstruo
queso,pastel
pollo,jockey
papas fritas,jalapeño
chocolate,negro
maíz,alto
cangrejo,inmortal
cruasán,capas
huevo,frágil
pescado,espinas
fruta,bucle
miel,luna
perro caliente,dedo
mermelada,espacio
langosta,roca
nachos,libre
pulpo,jardín
cebolla,ogro
ostra,perla
panqueque,maquillaje
pasta,creepy
cacahuate,galería
pizza,torre
cerdo,barriga
papa,caliente
arroz,crocante
salmón,carrera
sándwich,letrero
vieira,papa
camarón,bubba
sopa,ópera
espinaca,marinero
calamar,juego
taco,martes
atún,piano
pavo,carrera
